Workload,Method,MAE,Average Error,EA,MAPE
C,User,56416.19836419198,15:40:16,0.10713352820951798,2999.341407371898
C,Heuristic,3695.9314967942955,01:01:35,0.24812670673462348,53.27742645215961
C,DT,3367.5123134999103,00:56:07,0.5782678494992248,3.9019007023602597
C,RNP,4506.397537300018,01:15:06,0.562610391585409,12.230834721008026
C,KNN,3557.569267181976,00:59:17,0.27568038386735383,96.50003482927919
C,ORA,394.73591886871594,00:06:34,0.6864905843179141,1.621772703952832
A,User,56172.86086861945,15:36:12,0.10669389661802922,3047.455561134591
A,Heuristic,3716.3610678531704,01:01:56,0.24943447590785922,53.48290640695386
A,DT,3434.40284390063,00:57:14,0.5772131029788218,2.7691919961822533
A,RNP,4522.868414781857,01:15:22,0.5704171957919189,9.026398393278122
A,KNN,3622.4478924731184,01:00:22,0.2794890265907852,96.31546265840294
A,ORA,451.4799377085651,00:07:31,0.6849572768633708,2.970192853699616
H1,User,55714.90878754171,15:28:34,0.10799683317697534,3010.321859771522
H1,Heuristic,3562.8053392658508,00:59:22,0.25855322565882544,51.16080315201652
H1,DT,2830.797552836485,00:47:10,0.6036374820066406,1.633336043006695
H1,RNP,4284.866518353726,01:11:24,0.5712961452752786,4.556860579985007
H1,KNN,3600.516129032258,01:00:00,0.2786773005685531,98.16518294824346
H1,ORA,430.71968854282534,00:07:10,0.6760289969364678,3.7153690791902827
H2,User,57402.01777777778,15:56:42,0.10379535507694362,3198.9187662330264
H2,Heuristic,3718.451111111111,01:01:58,0.2388994511048057,56.23348417255228
H2,DT,3448.29,00:57:28,0.5901371874087487,2.599399219059995
H2,RNP,4060.72,01:07:40,0.5985084802059698,13.680785222150007
H2,KNN,3469.3555555555554,00:57:49,0.28299844482542597,101.76610693703897
H2,ORA,552.5022222222223,00:09:12,0.6726997378208506,1.8324543684417485
H3,User,55567.54888888889,15:26:07,0.11528711902158065,2899.301771962848
H3,Heuristic,4164.473333333333,01:09:24,0.256881823463943,51.81783474255976
H3,DT,3675.483333333333,01:01:15,0.5714425142441852,2.230135320204309
H3,RNP,5120.344444444445,01:25:20,0.5624074128050616,12.793807104478756
H3,KNN,4090.06,01:08:10,0.28636276772917174,93.37098614392643
H3,ORA,352.3688888888889,00:05:52,0.7136263964038115,0.2885914847973651
H4,User,56458.14,15:40:58,0.09985897435378109,2990.0078262929737
H4,Heuristic,3438.9377777777777,00:57:18,0.24506773950911998,54.57550763053458
H4,DT,3446.4366666666665,00:57:26,0.5635025587385959,4.100193089524023
H4,RNP,4797.261111111111,01:19:57,0.5546307560881967,8.03835254684649
H4,KNN,3246.438888888889,00:54:06,0.2736762636081171,89.12518388304484
H4,ORA,545.9188888888889,00:09:05,0.6846868119444677,0.3552794499924548
H5,User,55721.688888888886,15:28:41,0.10653120146086535,3138.7275814125815
H5,Heuristic,3697.137777777778,01:01:37,0.2477701398026021,53.62690233710619
H5,DT,3771.0066666666667,01:02:51,0.5573457724959383,3.2828963091162437
H5,RNP,4351.15,01:12:31,0.5652431845850873,6.062186512930349
H5,KNN,3705.8688888888887,01:01:45,0.27573035622265774,99.149853379761
H5,ORA,375.89,00:06:15,0.6777444412112562,8.659269886076226
